,0
93, gra LINK JCT SU J JCT ROOT SU J COMP
94, CONJ COORD PUNCT
95, like I did this last sunday too lots of cleaning breathes 
96, mor conj like pro sub I v do P ST pro dem this v last n sunday adv too
97, n lot PL prep of n gerund clean PRESP 
98, gra LINK SU J ROOT SU J COMP O J JCT
99, O J NJCT PO J PUNCT
100, right 
101, mor co right 
102, gra INCROOT PUNCT
103, first I swept the floors then I scrubbed the bathroom floor with
104, um 
105, mor adv first pro sub I v sweep P ST det art the n floor PL
106, adv tem then pro sub I v scrub P ST det art the n n bath n room
107, n floor prep with 
108, gra JCT SU J CJCT DET O J JCT SU J ROOT
109, DET MOD O J JCT PUNCT
110, the tile cleaner in water and then breathes I scrubbed 
111, mor det art the n tile n clean dv GT prep in n water coord and
112, adv tem then pro sub I v scrub P ST 
113, gra DET MOD INCROOT NJCT PO J CONJ JCT
114, SU J COORD PUNCT
115, the whole floor out here with the Murphy s oil 
116, mor det art the adj whole n floor adv out adv here prep with
117, det art the n prop Murphy poss s n oil 
118, gra DET MOD INCROOT JCT NJCT JCT DET
119, MOD POSS PO J PUNCT
120, right 
121, mor co right 
122, gra INCROOT PUNCT
123, in water 
124, mor prep in n water 
125, gra INCROOT PO J PUNCT
126, so hopefully that ll cut down on the dust and I just cleaned so
127, much my knees hurt 
128, mor adv so adv hope dadj FULL LY pro dem that mod will n cut adv down
129, prep on det art the n dust coord and pro sub I adv just v clean P ST
130, adv so qn much det poss my n knee PL v hurt ZERO 
131, gra JCT JCT SU J UX ROOT JCT JCT DET
132, PO J LINK SU J JCT CJCT JCT
133, QU NT MOD SU J COMP PUNCT
134, laughs 
135, if you distorted lean down on them they really do 
136, mor conj if pro per you v lean adv down prep on pro obj them
137, pro sub they adv real dadj LY v do 
138, gra LINK SU J CJCT JCT JCT PO J SU J
139, JCT ROOT PUNCT
140, and it took 
141, mor coord and pro per it v take P ST 
142, gra LINK SU J ROOT PUNCT
143, well we have to give you something else to do while you re down
144, there 
145, mor co well pro sub we v have inf to v give pro per you
146, pro indef something post else inf to v do conj while
147, pro per you cop be PRES adv down adv there 
148, gra COM SU J ROOT INF COMP SU J SU J
149, PQ INF COMP LINK SU J CJCT JCT
150, JCT PUNCT
151, yeah laughs 
152, mor co yeah 
153, gra INCROOT PUNCT
154, breathes laughs and it took uh couple hours laughs 
155, mor coord and pro per it v take P ST n couple n hour PL 
156, gra LINK SU J ROOT MOD O J PUNCT
157, laughs 
158, you didn t get it 
159, mor pro per you mod do P ST neg not v get pro per it 
160, gra SU J UX NEG ROOT O J PUNCT
161, but um 
162, mor conj but 
163, gra INCROOT PUNCT
164, I got that done then I showered and 
165, mor pro sub I v get P ST pro rel that part do P STP adv tem then
166, pro sub I v shower P ST coord and 
167, gra SU J ROOT LINK XJCT JCT SU J COMP
168, CONJ PUNCT
169, had lunch and just checked my mail got this thing in the mail 
170, mor v have P ST n lunch coord and adv just v check P ST det poss my
171, n mail v get P ST pro dem this n thing prep in det art the n mail 
172, gra ROOT O J CONJ JCT COORD MOD SU J
173, COMP DET O J NJCT DET PO J
174, PUNCT
175, breathes oh yeah 
176, mor co oh co yeah 
177, gra COM INCROOT PUNCT
178, put the trash out yeah 
179, mor v put ZERO det art the v trash adv out co yeah 
180, gra ROOT DET COMP JCT PO J PUNCT
181, um they re still not done in my bathroom yet but the guy came in
182, and checked it today 
183, mor pro sub they aux be PRES adv still neg not part do P STP prep in
184, det poss my n n bath n room adv yet conj but det art the n guy
185, v come P ST adv in coord and v check P ST pro per it adv tem today 
186, gra SU J UX JCT NEG ROOT JCT MOD PO J
187, JCT LINK DET SU J CJCT JCT
188, CONJ COORD O J JCT PUNCT
189, they re going to finish it up one of these days soon they ve got
190, other work they re doing 
191, mor pro sub they aux be PRES part go PRESP inf to v finish pro per it
192, adv up det num one prep of pro dem these n day PL adj soon
193, pro sub they aux have v get P ST qn other n work
194, pro sub they aux be PRES part do PRESP 
195, gra SU J UX ROOT INF COMP O J JCT PO J
196, NJCT DET PO J JCT SU J UX
197, COMP QU NT O J SU J UX CMOD
198, PUNCT
199, um tonight I m seeing Sharon 
200, mor adv tem tonight pro sub I aux be S part see PRESP n prop Sharon 
201, gra LINK SU J UX ROOT O J PUNCT
202, tonight what 
203, mor adv tem tonight pro int what 
204, gra INCROOT CO J PUNCT
205, tonight I m seeing Sharon 
206, mor adv tem tonight pro sub I aux be S part see PRESP n prop Sharon 
207, gra LINK SU J UX ROOT O J PUNCT
208, yeah you wrote you told me about that in your letter 
209, mor co yeah pro per you v write P ST pro per you v tell P ST pro obj me
210, prep about pro dem that prep in det poss your n letter 
211, gra COM SU J ROOT SU J COMP O J JCT
212, PO J JCT MOD PO J PUNCT
213, yeah I m so excited because I haven t seen her in so long and Todd
214, was going to go with us 
215, mor co yeah pro sub I aux be S adv so part excite P STP conj because
216, pro sub I aux have neg not part see P STP pro obj her prep in adv so
217, adj long coord and n prop Todd aux be P ST S part go PRESP inf to
218, v go prep with pro obj us 
219, gra COM SU J UX JCT ROOT LINK SU J
220, UX NEG COMP O J JCT JCT PO J
221, LINK SU J UX CMOD INF COMP
222, JCT PO J PUNCT
223, sniff 
224, but then he 
225, mor conj but adv tem then pro sub he 
226, gra LINK JCT INCROOT PUNCT
227, decided not to because he has to go somewhere with the spring cord
228, band 
229, mor part decide P STP neg not prep to conj because pro sub he
230, aux have S inf to v go n somewhere prep with det art the n spring
231, n cord n band 
232, gra INCROOT NEG JCT LINK SU J UX INF
233, CPO J O J JCT DET MOD MOD PO J
234, PUNCT
235, right 
236, mor co right 
237, gra INCROOT PUNCT
238, which Sharon and I both find annoying because we want to see him 
239, 
240, mor pro rel which n prop Sharon coord and pro sub I post both v find
241, part annoy PRESP conj because pro sub we v want inf to v see
242, pro obj him 
243, gra LINK SU J CONJ COORD PQ ROOT O J
244, LINK SU J CJCT INF COMP O J
245, PUNCT
246, and s she s home right now 
247, mor coord and pro sub she aux be S adv home adv right adv now 
248, gra LINK SU J ROOT JCT JCT JCT PUNCT
249, I know you told me everything in your letter 
250, mor pro sub I v know pro per you v tell P ST pro obj me
251, pro indef everything prep in det poss your n letter 
252, gra SU J ROOT SU J COMP O J O J JCT MOD
253, PO J PUNCT
254, oh I m sorry well I m probably going to go home 
255, mor co oh pro sub I cop be S adj sorry n well pro sub I cop be S
256, adv probable dadj LY part go PRESP inf to v go n home 
257, gra COM SU J JCT MOD PRED SU J UX JCT
258, ROOT INF COMP JCT PUNCT
259, um with hers so I go to my house tonight and go to church in the
260, morning and everything and then she ll bring me back here tomorrow 
261, 
262, mor prep with pro poss hers conj so pro sub I v go prep to det poss my
263, n house adv tem tonight coord and v go prep to n church prep in
264, det art the n morning coord and pro indef everything coord and
265, adv tem then pro sub she mod will v bring pro obj me adv back
266, adv here adv tem tomorrow 
267, gra INCROOT PO J LINK SU J CPO J JCT MOD
268, PO J JCT CONJ COORD JCT PO J
269, NJCT DET PO J CONJ COORD LINK
270, JCT SU J UX CJCT O J JCT
271, JCT JCT PUNCT
272, oh right 
273, mor co oh co right 
274, gra COM INCROOT PUNCT
275, yep 
276, mor co yep 
277, gra INCROOT PUNCT
278, and honey I ve been 
279, mor coord and n honey pro sub I aux have cop be P STP 
280, gra INCROOT COORD SU J UX CMOD PUNCT
281, agitated like I wrote to you 
282, mor v agitate P ST co like pro sub I v write P ST prep to pro per you 
283, gra JCT COM SU J ROOT JCT PO J PUNCT
284, mhm 
285, mor co yes 
286, gra INCROOT PUNCT
287, what s going on 
288, mor pro int what aux be S part go PRESP adv on 
289, gra SU J UX ROOT JCT PUNCT
290, I don t know I think it s because I miss you so much 
291, mor pro sub I mod do neg not v know pro sub I v think
292, pro per it cop be S conj because pro sub I v miss pro per you
293, adv so qn much 
294, gra SU J UX NEG ROOT SU J COMP SU J
295, COMP LINK SU J CJCT O J JCT
296, JCT PUNCT
297, it s going to be all right don t worry about it 
298, mor pro per it aux be S part go PRESP inf to cop be adv all adv right
299, mod do neg not v worry prep about pro per it 
300, gra SU J UX LINK INF SU J JCT JCT
301, UX NEG ROOT JCT PO J PUNCT
302, I know it s just it s getting to me like 
303, mor pro sub I v know pro per it cop be S adj just pro per it aux be S
304, part get PRESP prep to pro obj me prep like 
305, gra SU J ROOT SU J COMP PRED SU J UX
306, XJCT JCT PO J JCT PUNCT
307, no I know it s getting to me too nothing has been happening 
308, mor co no pro sub I v know pro per it cop be S n gerund get PRESP
309, prep to pro obj me adv too pro indef nothing aux have S
310, aux be P STP part happen PRESP 
311, gra COM SU J ROOT O J UX XJCT JCT
312, PO J JCT SU J UX UX COMP
313, PUNCT
314, I haven t been doing anything but working 
315, mor pro sub I aux have neg not cop be P STP n gerund do PRESP
316, pro indef anything conj but part work PRESP 
317, gra SU J UX NEG ROOT PRED O J CONJ
318, COORD PUNCT
319, mhm 
320, mor co yes 
321, gra INCROOT PUNCT
322, and going to classes and being in the studio 
323, mor coord and part go PRESP prep to n class PL coord and part be PRESP
324, prep in det art the n studio 
325, gra INCROOT COORD JCT PO J CONJ COORD JCT
326, DET PO J PUNCT
327, breathes 
328, I know n I m not worried about 
329, mor pro sub I v know pro sub I cop be S neg not part worry P STP
330, adv about 
331, gra SU J ROOT SU J UX NEG COMP JCT
332, PUNCT
333, um 
334, that and like I m not worried about things with us but it s just
335, that breathes 
336, mor pro dem that coord and co like pro sub I cop be S neg not
337, part worry P STP prep about n thing PL prep with pro obj us conj but
338, pro per it cop be S adj just pro dem that 
339, gra SU J CONJ COM SU J COORD NEG ROOT
340, JCT PO J JCT PO J LINK SU J CJCT
341, MOD PRED PUNCT
342, breathes 
343, I want to see you I want to see I want to see you laughs 
344, mor pro sub I v want inf to v see pro per you pro sub I v want inf to
345, v see pro sub I v want inf to v see pro per you 
346, gra SU J ROOT INF COMP O J SU J COMP
347, INF COMP SU J CJCT INF COMP O J
348, PUNCT
349, going to be fine we ll see each other soon 
350, mor part go PRESP inf to cop be adj fine pro sub we mod will v see
351, qn each qn other adj soon 
352, gra XJCT INF COMP PRED SU J UX ROOT
353, QU NT QU NT JCT PUNCT
354, I know I know 
355, mor pro sub I v know pro sub I v know 
356, gra SU J ROOT SU J COMP PUNCT
357, when is this party 
358, mor conj when cop be S pro dem this n party 
359, gra LINK ROOT DET PRED PUNCT
360, it s October seventh 
361, mor pro per it aux be S n prop October adj seventh 
362, gra SU J UX ROOT PRED PUNCT
363, so that saturday 
364, mor adv so pro dem that n saturday 
365, gra JCT DET INCROOT PUNCT
366, yeah 
367, mor co yeah 
368, gra INCROOT PUNCT
369, okay 
370, mor co okay 
371, gra INCROOT PUNCT
372, which let me just check it to be sure breathes it s in it s two
373, weeks from today I believe 
374, mor pro rel which v let ZERO pro obj me adj just v check pro per it
375, inf to cop be adj sure pro per it aux be S adv in
376, pro per it cop be S det num two n week PL prep from adv tem today
377, pro sub I v believe 
378, gra LINK ROOT O J JCT COMP O J INF COMP
379, PRED SU J UX JCT SU J CJCT
380, QU NT PRED NJCT PO J SU J PRED
381, PUNCT
382, okay 
383, mor co okay 
384, gra INCROOT PUNCT
385, yeah it s the seventh 
386, mor co yeah pro per it cop be S det art the adj seventh 
387, gra COM SU J ROOT DET PRED PUNCT
388, breathes so I have to leave a note 
389, mor co so pro sub I v have inf to v leave det art a n note 
390, gra COM SU J ROOT INF COMP DET O J
391, PUNCT
392, two weeks 
393, mor det num two n week PL 
394, gra QU NT INCROOT PUNCT
395, for my manager 
396, mor conj for det poss my n manage dv GT 
397, gra INCROOT MOD O J PUNCT
398, huh 
399, sniff 
400, and um 
401, mor coord and 
402, gra INCROOT PUNCT
403, yeah breathes 
404, mor co yeah 
405, gra INCROOT PUNCT
406, it it s going to be okay don t worry 
407, mor pro per it pro per it aux be S part go PRESP inf to cop be
408, adj okay mod do neg not v worry 
409, gra LINK SU J UX ROOT INF COMP SU J
410, UX NEG PRED PUNCT
411, I know I know I 
412, mor pro sub I v know pro sub I v know pro sub I 
413, gra SU J ROOT SU J COMP O J PUNCT
414, why have guys been coming on to you or something or you re like
415, getting all frustrated 
416, mor adv int why v have n guy PL aux be P STP part come PRESP adv on
417, prep to pro per you coord or pro indef something coord or
418, pro per you cop be PRES v like part get PRESP adv all
419, part frustrate P STP 
420, gra LINK CJCT SU J UX ROOT JCT JCT
421, PO J CONJ COORD LINK SU J UX
422, CMOD XJCT JCT COMP PUNCT
423, no it s not that 
424, mor co no pro per it cop be S neg not pro dem that 
425, gra COM SU J ROOT NEG PRED PUNCT
426, no honey it s not that it s just 
427, mor qn no n honey pro per it cop be S neg not pro rel that
428, pro per it cop be S adj just 
429, gra QU NT JCT SU J ROOT NEG LINK SU J
430, CJCT PRED PUNCT
431, I want to see you laughs 
432, mor pro sub I v want inf to v see pro per you 
433, gra SU J ROOT INF COMP O J PUNCT
434, breathes very much 
435, mor adv very qn much 
436, gra JCT INCROOT PUNCT
437, if you want to see other guys you can just you want to talk about
438, that or something 
439, mor conj if pro per you v want inf to v see qn other n guy PL
440, pro per you mod can adv just pro per you v want prep to n talk
441, prep about pro dem that coord or pro indef something 
442, gra LINK SU J ROOT INF COMP QU NT O J
443, SU J UX JCT SU J CMOD JCT
444, PO J JCT PO J CONJ COORD PUNCT
445, no sweetheart honey listen to me when I talk 
446, mor qn no n n sweet n heart n honey v listen prep to pro obj me
447, conj when pro sub I v talk 
448, gra QU NT MOD SU J ROOT JCT PO J LINK
449, SU J CJCT PUNCT
450, I am listening to you but I are you sure that s all it is I mean 
451, 
452, mor pro sub I aux be S part listen PRESP prep to pro per you conj but
453, pro sub I cop be PRES pro per you adj sure pro dem that cop be S
454, pro indef all pro per it cop be S pro sub I v mean 
455, gra SU J UX ROOT JCT PO J LINK SU J
456, CJCT PRED PRED SU J CMOD JCT
457, SU J PRED SU J PRED PUNCT
458, I want to see you yes that s all it is 
459, mor pro sub I v want inf to v see pro per you co yes
460, pro dem that cop be S pro indef all pro per it cop be S 
461, gra SU J ROOT INF COMP SU J COM SU J
462, COMP PRED SU J CMOD PUNCT
463, it and that s I think what s getting to me like 
464, mor pro per it coord and pro dem that cop be S pro sub I v think
465, pro int what aux be S part get PRESP prep to pro obj me prep like 
466, gra SU J CONJ COORD ROOT SU J PRED SU J
467, UX COMP JCT PO J JCT PUNCT
468, like last weekend I went to comedy sports with my roommates and 
469, mor prep like adj last n n week n end pro sub I v go P ST prep to
470, n comedy n sport PL prep with det poss my n n room n mate PL
471, coord and 
472, gra JCT MOD PO J SU J ROOT JCT MOD PO J
473, JCT MOD PO J COORD PUNCT
474, I know you told 
475, mor pro sub I v know pro per you v tell P ST 
476, gra SU J ROOT SU J COMP PUNCT
477, two other couples and breathes xxx oh honey wish you were here 
478, 
479, mor det num two qn other n couple PL coord and co oh n honey n wish
480, pro per you cop be P ST adv here 
481, gra QU NT QU NT INCROOT CONJ COM MOD COORD
482, SU J CMOD JCT PUNCT
483, you know 
484, mor pro per you v know 
485, gra SU J ROOT PUNCT
486, I know 
487, mor pro sub I v know 
488, gra SU J ROOT PUNCT
489, and it s not that I want to talk to anybody else it s not 
490, mor coord and pro per it cop be S neg not pro rel that pro sub I
491, v want prep to n talk prep to pro indef anybody post else
492, pro per it cop be S neg not 
493, gra LINK SU J ROOT NEG LINK SU J CJCT
494, JCT PO J JCT PO J PQ SU J CJCT
495, NEG PUNCT
496, it s that I want to be with you 
497, mor pro per it aux be S pro rel that pro sub I v want inf to cop be
498, prep with pro per you 
499, gra SU J ROOT LINK SU J CMOD INF COMP
500, JCT PO J PUNCT
501, but I m feeling better today smacks lips and 
502, mor conj but pro sub I aux be S part feel PRESP adj good CP
503, adv tem today coord and 
504, gra LINK SU J UX ROOT JCT CONJ COORD
505, PUNCT
506, breathes it s going to be okay don t worry distorted 
507, mor pro per it aux be S part go PRESP inf to cop be adj okay
508, mod do neg not v worry 
509, gra SU J UX ROOT INF COMP SU J UX NEG
510, PRED PUNCT
511, yeah I know it will laughs now I know 
512, mor co yeah pro sub I v know pro per it mod will adv now pro sub I
513, v know 
514, gra COM SU J ROOT SU J UX JCT SU J
515, COMP PUNCT
516, it ll be fine don t worry 
517, mor pro per it mod will cop be adj fine mod do neg not v worry 
518, gra SU J UX ROOT SU J UX NEG PRED
519, PUNCT
520, it s just I find 
521, mor pro per it aux be S adj just pro sub I v find 
522, gra SU J UX JCT SU J ROOT PUNCT
523, just keep just keep doing your work keep focusing on xxx breathes
524, I notice that I I don t think about 
525, mor adv just v keep adv just v keep part do PRESP det poss your n work
526, v keep part focus PRESP adv on pro sub I v notice pro rel that
527, pro sub I pro sub I mod do neg not v think adv about 
528, gra JCT ROOT JCT COMP XJCT MOD SU J
529, COMP XJCT JCT SU J COMP LINK
530, SU J SU J UX NEG COMP JCT
531, PUNCT
532, right 
533, mor co right 
534, gra INCROOT PUNCT
535, the fact that you re not here because I breathes am always so
536, busy you know and 
537, mor det art the n fact pro rel that pro per you aux be PRES neg not
538, adv here conj because pro sub I aux be S adv always conj so v busy
539, pro per you v know coord and 
540, gra DET SU J LINK SU J UX NEG JCT
541, LINK SU J UX JCT LINK CJCT
542, SU J ROOT CONJ PUNCT
543, I m hoping that I I thought a lot about 
544, mor pro sub I aux be S part hope PRESP pro rel that pro sub I
545, pro sub I v think P ST det art a n lot adv about 
546, gra SU J UX ROOT LINK SU J SU J COMP
547, DET O J JCT PUNCT
548, some ideas for what I want to do 
549, mor qn some n idea PL prep for pro int what pro sub I v want inf to
550, v do 
551, gra QU NT INCROOT JCT LINK SU J CPO J INF
552, COMP PUNCT
553, uhhuh 
554, mor co uhhuh 
555, gra INCROOT PUNCT
556, you when you read me email you ll you ll see er I wrote you a
557, long letter 
558, mor pro per you conj when pro per you v read ZERO pro obj me n email
559, pro per you mod will pro per you mod will v see pro sub I
560, v write P ST pro per you det art a adj long n letter 
561, gra INCROOT LINK SU J CJCT O J O J SU J
562, UX SU J UX CMOD SU J COMP
563, O J DET MOD O J PUNCT
564, okay 
565, mor co okay 
566, gra INCROOT PUNCT
567, yawn 
568, um I m hoping that excuse me I m sorry says yawning 
569, mor pro sub I aux be S part hope PRESP pro dem that v excuse
570, pro obj me pro sub I cop be S adj sorry 
571, gra SU J UX ROOT SU J COMP O J SU J
572, COMP PRED PUNCT
573, it s okay 
574, mor pro per it cop be S adj okay 
575, gra SU J ROOT PRED PUNCT
576, I m hoping that tonight 
577, mor pro sub I aux be S part hope PRESP pro rel that adv tem tonight 
578, gra SU J UX ROOT O J JCT PUNCT
579, or now when I go to asleep that I can 
580, mor coord or adv now conj when pro sub I v go inf to adv asleep
581, pro rel that pro sub I mod can 
582, gra LINK ROOT LINK SU J PUNCT INF COMP
583, LINK SU J ROOT PUNCT
584, dream about what I ve been thinking about 
585, mor n dream prep about pro int what pro sub I aux have aux be P STP
586, part think PRESP adv about 
587, gra INCROOT JCT LINK SU J UX UX CPO J
588, JCT PUNCT
589, yeah 
590, mor co yeah 
591, gra INCROOT PUNCT
592, uhhuh 
593, mor co uhhuh 
594, gra INCROOT PUNCT
595, breathes 
596, and uh I want to get up and I was going xxx I have a paper due
597, soon so I want to get busy on that and breathes 
598, mor coord and pro sub I v want inf to v get adv up coord and pro sub I
599, aux be P ST S part go PRESP pro sub I v have det art a n paper
600, n due adj soon conj so pro sub I v want inf to v get v busy prep on
601, pro dem that coord and 
602, gra LINK SU J ROOT INF COMP JCT LINK
603, SU J UX CJCT SU J COMP DET
604, MOD O J POSTMOD LINK SU J CJCT
605, INF COMP PRED JCT PO J COORD
606, PUNCT
607, mhm 
608, mor co yes 
609, gra INCROOT PUNCT
610, I mean I just try to just focus on on 
611, mor pro sub I v mean pro sub I adv just v try prep to adj just n focus
612, adv on prep on 
613, gra SU J ROOT SU J JCT COMP JCT MOD
614, PO J JCT JCT PUNCT
615, yeah 
616, mor co yeah 
617, gra INCROOT PUNCT
618, breathes it gets hard sometimes but breathes 
619, mor pro per it v get S adv hard adv sometimes conj but 
620, gra SU J ROOT JCT JCT JCT PUNCT
621, you know I haven t had any anyone approach me or whatever 
622, mor pro per you v know pro sub I aux have neg not part have P STP
623, qn any pro indef anyone v approach pro obj me coord or
624, pro int whatever 
625, gra SU J CJCT SU J UX NEG COMP QU NT
626, SU J ROOT O J CONJ COORD PUNCT
627, eh I nothing I mean breathes 
628, mor pro sub I pro indef nothing pro sub I v mean 
629, gra SU J ROOT SU J CMOD PUNCT
630, mhm distorted 
631, mor co yes 
632, gra INCROOT PUNCT
633, there s been one incident 
634, mor pro exist there aux be S aux be P STP det num one n incident 
635, gra SU J SU J UX QU NT INCROOT PUNCT
636, but it wasn t even an incident it was one girl 
637, mor conj but pro per it cop be P ST S neg not adv even det art a
638, n incident pro per it cop be P ST S det num one n girl 
639, gra LINK SU J ROOT NEG JCT DET PRED
640, SU J CMOD QU NT PRED PUNCT
641, who I think is a metals major 
642, mor pro int who pro sub I v think aux be S det art a n metal PL
643, n major 
644, gra LINK SU J ROOT COMP DET MOD PRED
645, PUNCT
646, uh 
647, kind of stared at me once and then I saw her again and she was
648, staring at me again and kind of smiling at me 
649, mor adj kind prep of part stare P STP prep at pro obj me adv once
650, coord and adv tem then pro sub I n saw det poss her adv again
651, coord and pro sub she aux be P ST S part stare PRESP prep at
652, pro obj me adv again coord and adj kind prep of n gerund smile PRESP
653, prep at pro obj me 
654, gra INCROOT JCT PO J JCT PO J JCT CONJ
655, JCT SU J COORD O J JCT LINK
656, SU J UX CJCT JCT PO J JCT
657, CONJ COORD JCT PO J JCT PO J
658, PUNCT
659, mhm mm mhm 
660, mor co yes co yes 
661, gra COM INCROOT PUNCT
662, breathes so I approached her 
663, mor co so pro sub I v approach P ST pro obj her 
664, gra COM SU J ROOT O J PUNCT
665, I approached her one day outside on campus when I saw her again
666, breathes 
667, mor pro sub I v approach P ST pro obj her det num one n day adv outside
668, prep on n campus conj when pro sub I n saw det poss her adv again 
669, gra SU J ROOT O J QU NT JCT NJCT JCT
670, PO J LINK SU J PUNCT ROOT JCT
671, PUNCT
672, uhhuh 
673, mor co uhhuh 
674, gra INCROOT PUNCT
675, with her friend 
676, mor prep with det poss her n friend 
677, gra INCROOT MOD PO J PUNCT
678, and uh and an this is the reason why because I was walking by
679, and I saw her with her friend 
680, mor coord and coord and pro dem this cop be S det art the n reason
681, adv int why conj because pro sub I aux be P ST S part walk PRESP
682, adv by coord and pro sub I n saw det poss her prep with det poss her
683, n friend 
684, gra LINK LINK SU J ROOT DET MOD PRED
685, LINK SU J UX PUNCT JCT CONJ
686, SU J COORD ROOT JCT MOD PO J
687, PUNCT
688, End
689,
