,0
253, laughs distortion yeah inhales wow 
254, yeah 
255, it s unbelievable 
256, so I teach in the summer and and this past year I taught two nights
257, a week at Harvard but you know each course there was 
258, thirty two hundred dollars 
259, I mean that s a lot of money 
260, yeah 
261, for two nights a week for you know 
262, yeah 
263, well worth it well worth it 
264, com baby crying 
265, ut you know sigh I m not getting any younger laughs 
266, distortion wow distorted 
267, well we ll see you know as you said if you re looking at the job
268, market today you re 
269, hey 
270, yes 
271, pretty well set 
272, I am I have a job and so all this was extra and uh it goes to her
273, tuition and that s the way it goes 
274, yeah 
275, wow and how s the rest of distorted 
276, Sweetheart I had this free phone call laughs 
277, I know so what ca are you allowed to divulge your research laugh
278, 
279, laughs This isn t mine University of Pennsylvania I had all the
280, foreign students at Harvard making phone calls all summer 
281, laughs 
282, inhales Get out of here laughing 
283, and then and then I m going to get ten dollars for this in the mail
284, 
285, d uh I have nothing to do with this 
286, nothing to d I saw an ad 
287, in TESOL something or other 
288, yeah 
289, called them up and it s a um 
290, from the Linguistics Department it just ironically it s her school
291, University of Pennsylvania 
292, inhales and what what is it for though 
293, they I think they want to see it s all different languages I think
294, they want to see like interrupting laughs 
295, ah 
296, End
297,
